epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,175.846,0.5233,0.51583,1.01773,0.94426,0.52306,0.93082,0.61012,1.54604,1.47448,1.36638,2.11444e-05,2.11444e-05,2.11444e-05
80,178.029,0.6024,0.54793,1.10889,0.94426,0.52306,0.93082,0.61012,1.54604,1.47448,1.36638,2.04848e-05,2.04848e-05,2.04848e-05
81,180.239,0.503,0.359,0.96738,0.94149,0.52918,0.84824,0.53515,1.56503,1.51338,1.37724,1.98016e-05,1.98016e-05,1.98016e-05
82,182.395,0.64798,0.51211,1.09415,0.94149,0.52918,0.84824,0.53515,1.56503,1.51338,1.37724,1.90949e-05,1.90949e-05,1.90949e-05
83,184.583,0.58448,0.48849,1.03706,0.94149,0.52918,0.84824,0.53515,1.56503,1.51338,1.37724,1.83646e-05,1.83646e-05,1.83646e-05
84,186.861,0.62685,0.50831,1.15172,0.94282,0.5267,0.84162,0.5139,1.57546,1.56627,1.37897,1.76107e-05,1.76107e-05,1.76107e-05
85,189.039,0.50414,0.50339,1.10481,0.94282,0.5267,0.84162,0.5139,1.57546,1.56627,1.37897,1.68333e-05,1.68333e-05,1.68333e-05
86,191.176,0.58784,0.53129,1.00431,0.94282,0.5267,0.84162,0.5139,1.57546,1.56627,1.37897,1.60323e-05,1.60323e-05,1.60323e-05
87,193.351,0.60743,0.47234,0.99338,0.94282,0.5267,0.84162,0.5139,1.57546,1.56627,1.37897,1.52077e-05,1.52077e-05,1.52077e-05
88,195.602,0.74194,0.59721,1.36651,0.94147,0.52971,0.92202,0.5891,1.54964,1.58303,1.37273,1.43596e-05,1.43596e-05,1.43596e-05
89,197.77,0.89142,0.62899,1.41497,0.94147,0.52971,0.92202,0.5891,1.54964,1.58303,1.37273,1.34879e-05,1.34879e-05,1.34879e-05
90,199.944,0.54857,0.46706,0.9543,0.94147,0.52971,0.92202,0.5891,1.54964,1.58303,1.37273,1.25927e-05,1.25927e-05,1.25927e-05
91,202.177,0.43027,0.36677,0.87468,0.94147,0.52971,0.92202,0.5891,1.54964,1.58303,1.37273,1.16739e-05,1.16739e-05,1.16739e-05
92,204.409,0.70645,0.71781,0.93559,0.93628,0.53089,0.91777,0.62806,1.51118,1.5936,1.35964,1.07315e-05,1.07315e-05,1.07315e-05
93,206.582,0.34371,0.32394,0.89109,0.93628,0.53089,0.91777,0.62806,1.51118,1.5936,1.35964,9.76562e-06,9.76562e-06,9.76562e-06
94,208.763,0.45582,0.37253,0.87085,0.93628,0.53089,0.91777,0.62806,1.51118,1.5936,1.35964,8.77613e-06,8.77613e-06,8.77613e-06
95,211.007,0.33132,0.32364,0.87011,0.93628,0.53089,0.91777,0.62806,1.51118,1.5936,1.35964,7.76308e-06,7.76308e-06,7.76308e-06
96,213.183,0.34379,0.34193,0.9084,0.91734,0.53029,0.91663,0.64427,1.49569,1.58811,1.34611,6.72648e-06,6.72648e-06,6.72648e-06
97,215.348,0.62315,0.47741,1.0503,0.91734,0.53029,0.91663,0.64427,1.49569,1.58811,1.34611,5.6663e-06,5.6663e-06,5.6663e-06
98,217.49,0.43581,0.3862,0.87957,0.91734,0.53029,0.91663,0.64427,1.49569,1.58811,1.34611,4.58257e-06,4.58257e-06,4.58257e-06
99,219.682,0.47307,0.34401,0.90807,0.91734,0.53029,0.91663,0.64427,1.49569,1.58811,1.34611,3.47528e-06,3.47528e-06,3.47528e-06
100,221.888,0.39895,0.35195,0.88989,0.91992,0.53012,0.88836,0.63655,1.47273,1.55375,1.34315,2.34442e-06,2.34442e-06,2.34442e-06
