epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,3403.05,1.02612,0.68886,1.10836,0.80532,0.73731,0.78505,0.52703,1.15338,0.81614,1.1481,0.0086338,0.0086338,0.0086338
71,3451.25,1.02366,0.68713,1.1094,0.84203,0.68521,0.78129,0.54787,1.13666,0.76685,1.13896,0.008614,0.008614,0.008614
72,3499.6,1.03357,0.70773,1.11531,0.77928,0.74446,0.7601,0.51283,1.14831,0.82045,1.14523,0.0085942,0.0085942,0.0085942
73,3547.19,1.05016,0.70504,1.11215,0.81154,0.75403,0.7695,0.52469,1.18514,0.83739,1.19522,0.0085744,0.0085744,0.0085744
74,3595.33,1.01604,0.66051,1.10518,0.81118,0.73593,0.77204,0.53036,1.16794,0.90143,1.16168,0.0085546,0.0085546,0.0085546
75,3643.47,0.99248,0.64965,1.08747,0.81765,0.71444,0.76966,0.51325,1.18653,0.88807,1.17924,0.0085348,0.0085348,0.0085348
76,3692.04,1.02683,0.67542,1.10387,0.68981,0.74736,0.75421,0.52247,1.18838,0.92097,1.16595,0.008515,0.008515,0.008515
77,3740.8,1.01953,0.67033,1.11263,0.84565,0.73122,0.8038,0.54925,1.20145,0.94218,1.17724,0.0084952,0.0084952,0.0084952
78,3789.09,1.00566,0.6598,1.09918,0.88662,0.71256,0.79542,0.53632,1.19523,0.95502,1.17226,0.0084754,0.0084754,0.0084754
79,3837.03,0.99386,0.66012,1.08973,0.80266,0.73857,0.7891,0.55457,1.19299,0.88404,1.16994,0.0084556,0.0084556,0.0084556
80,3885.57,1.00123,0.65765,1.08915,0.85284,0.73712,0.79329,0.54327,1.22653,0.90284,1.17441,0.0084358,0.0084358,0.0084358
81,3933.76,1.0107,0.6789,1.10613,0.85616,0.72403,0.80045,0.55427,1.24289,0.88035,1.22057,0.008416,0.008416,0.008416
82,3983.05,0.98041,0.64613,1.08757,0.86661,0.72162,0.77099,0.4962,1.23808,0.85883,1.19783,0.0083962,0.0083962,0.0083962
83,4031.81,1.02043,0.67212,1.09364,0.71268,0.80562,0.78273,0.53008,1.21642,0.8579,1.17723,0.0083764,0.0083764,0.0083764
84,4080.28,0.98843,0.6628,1.09364,0.80215,0.74819,0.797,0.56034,1.17381,0.81276,1.16821,0.0083566,0.0083566,0.0083566
85,4128.43,1.00666,0.64215,1.09142,0.81436,0.80143,0.80591,0.55485,1.21416,0.85172,1.1842,0.0083368,0.0083368,0.0083368
86,4176.56,0.95682,0.63369,1.07035,0.73847,0.79707,0.78379,0.53789,1.20425,0.85532,1.18072,0.008317,0.008317,0.008317
87,4225.18,0.96467,0.63805,1.08045,0.82472,0.7886,0.799,0.55207,1.2182,0.86217,1.19841,0.0082972,0.0082972,0.0082972
88,4273.75,0.97958,0.6208,1.08234,0.7384,0.79924,0.78583,0.54776,1.18024,0.79558,1.1741,0.0082774,0.0082774,0.0082774
89,4322.17,0.98771,0.63967,1.08874,0.8247,0.76793,0.7965,0.55465,1.21706,0.82749,1.21725,0.0082576,0.0082576,0.0082576
90,4371.54,0.98441,0.65334,1.07693,0.73607,0.80088,0.77722,0.52539,1.22175,0.87988,1.20028,0.0082378,0.0082378,0.0082378
91,4420.34,0.98233,0.63416,1.07758,0.74675,0.79342,0.79416,0.55315,1.25106,0.93322,1.2502,0.008218,0.008218,0.008218
92,4468.8,0.9838,0.65223,1.08068,0.73567,0.79505,0.78607,0.53553,1.24046,0.89391,1.22823,0.0081982,0.0081982,0.0081982
93,4516.55,0.95407,0.62457,1.06881,0.74546,0.7989,0.79288,0.51821,1.22738,0.86047,1.19806,0.0081784,0.0081784,0.0081784
94,4565.59,0.97815,0.65185,1.07868,0.7755,0.78739,0.78099,0.53026,1.19224,0.77717,1.18073,0.0081586,0.0081586,0.0081586
95,4613.87,0.95661,0.62831,1.07521,0.7513,0.7473,0.78833,0.54898,1.14455,0.77171,1.15522,0.0081388,0.0081388,0.0081388
96,4662.9,0.97771,0.64433,1.08537,0.83823,0.73052,0.82054,0.54349,1.16644,0.8253,1.16694,0.008119,0.008119,0.008119
97,4711.11,0.96803,0.62769,1.06663,0.76458,0.83282,0.823,0.53368,1.1887,0.9087,1.17561,0.0080992,0.0080992,0.0080992
98,4759.94,0.97042,0.6356,1.07547,0.86278,0.70502,0.81126,0.54774,1.18671,0.90989,1.17541,0.0080794,0.0080794,0.0080794
99,4808.4,0.98763,0.63786,1.07524,0.68586,0.85297,0.76964,0.50677,1.19312,0.99713,1.17752,0.0080596,0.0080596,0.0080596
100,4857.24,0.9684,0.63558,1.07419,0.73412,0.797,0.78408,0.50686,1.21834,1.01132,1.19638,0.0080398,0.0080398,0.0080398
101,4905.56,0.96927,0.62781,1.07244,0.70435,0.78204,0.79472,0.52311,1.21274,0.92529,1.19589,0.00802,0.00802,0.00802
102,4953.54,0.95645,0.63766,1.07487,0.74992,0.77708,0.8054,0.53627,1.18321,0.92407,1.17372,0.0080002,0.0080002,0.0080002
103,5001.98,0.95195,0.62435,1.06448,0.73507,0.78549,0.78507,0.52765,1.15902,0.91771,1.15542,0.0079804,0.0079804,0.0079804
104,5050.42,0.95574,0.61823,1.07673,0.75203,0.77494,0.79053,0.53265,1.1467,0.85442,1.1486,0.0079606,0.0079606,0.0079606
105,5098.48,0.96914,0.62119,1.07185,0.80192,0.78333,0.79358,0.53472,1.14417,0.84024,1.14837,0.0079408,0.0079408,0.0079408
106,5146.33,0.96083,0.63505,1.06501,0.77013,0.79606,0.78822,0.53856,1.16066,0.87934,1.1509,0.007921,0.007921,0.007921
107,5195.14,0.94948,0.62957,1.05828,0.83169,0.724,0.79369,0.54931,1.13805,0.84229,1.14754,0.0079012,0.0079012,0.0079012
108,5243.67,0.95902,0.62793,1.05877,0.79389,0.7302,0.79142,0.5387,1.13618,0.81751,1.15157,0.0078814,0.0078814,0.0078814
109,5291.69,0.9457,0.60908,1.06308,0.76686,0.79067,0.80157,0.55653,1.12815,0.76544,1.1519,0.0078616,0.0078616,0.0078616
110,5340.41,0.95516,0.61595,1.07132,0.79668,0.72277,0.79136,0.54268,1.14284,0.77147,1.15545,0.0078418,0.0078418,0.0078418
111,5388.9,0.95915,0.63046,1.06563,0.75195,0.74364,0.78781,0.55143,1.13271,0.79223,1.15318,0.007822,0.007822,0.007822
112,5436.99,0.94971,0.61744,1.06969,0.72443,0.80332,0.7567,0.51982,1.13266,0.83184,1.14705,0.0078022,0.0078022,0.0078022
